id1,id2,pairs,5/30/2015,7/24/2015,8/1/2015,8/22/2015,8/30/2015,9/13/2015,9/19/2015,9/26/2015,10/7/2015,10/10/2015,10/17/2015,10/31/2015,11/15/2015,11/22/2015,11/26/2015,12/3/2015,12/12/2015,12/25/2015,12/27/2015,1/1/2016,1/30/2016,2/13/2016,2/20/2016,2/27/2016,3/12/2016,3/18/2016,3/22/2016,3/26/2016,3/27/2016,4/2/2016,4/9/2016,4/16/2016,4/23/2016,5/7/2016,5/15/2016,5/20/2016,5/23/2016,6/19/2016,7/2/2016,7/9/2016,7/16/2016,8/6/2016,8/13/2016,8/25/2016,8/27/2016,9/3/2016,9/7/2016,9/18/2016,9/24/2016,10/1/2016,10/5/2016,10/22/2016,10/23/2016,10/29/2016,10/30/2016,11/5/2016,11/12/2016,11/19/2016,11/25/2016,12/3/2016,12/6/2016,12/8/2016,12/15/2016,12/16/2016,12/18/2016,1/29/2017,2/5/2017,2/15/2017,2/19/2017,2/22/2017,2/26/2017,2/26.1/2017,3/1/2017,3/6/2017,3/8/2017,3/9/2017,3/11/2017,3/18/2017,3/22/2017,3/26/2017,3/28/2017,3/29/2017,3/31/2017,4/1/2017,4/2/2017,4/5/2017,4/6/2017,4/8/2017,4/15/2017,4/22/2017,4/23/2017,4/29/2017,5/3/2017,5/5/2017,5/6/2017,5/11/2017,5/13/2017,5/15/2017,5/16/2017,5/20/2017,5/24/2017,5/27/2017,5/27.1/2017,5/31/2017,6/5/2017,6/9/2017,6/21/2017,6/24/2017,7/14/2017,7/15/2017,7/17/2017,7/18/2017,7/20/2017,7/25/2017,7/26/2017,7/29/2017,8/1/2017,8/4/2017,8/5/2017,8/8/2017,8/9/2017,8/10/2017,8/11/2017,8/13/2017,8/13.1/2017,8/14/2017,8/16/2017,8/17/2017,8/19/2017,8/20/2017,8/21/2017,8/21.1/2017,8/27/2017,8/28/2017,8/30/2017,9/1/2017,9/2/2017,9/4/2017,9/6/2017,9/9/2017,9/13/2017,9/16/2017,9/18/2017,9/18.1/2017,9/23/2017,9/25/2017,9/27/2017,9/30/2017,10/1/2017,10/2/2017,10/7/2017,10/8/2017,10/9/2017,10/11/2017,10/14/2017,10/14.1/2017,10/15/2017,10/16/2017,10/18/2017,10/21/2017,10/21.1/2017,10/23/2017,10/25/2017,10/28/2017,10/29/2017,10/30/2017,11/1/2017,11/4/2017,11/6/2017,11/8/2017,11/12/2017,11/13/2017,11/15/2017,11/19/2017,11/19.1/2017,11/20/2017,11/24/2017,11/27/2017,12/2/2017,12/3/2017,12/3.1/2017,12/4/2017,12/9/2017,12/10/2017,12/11/2017,12/17/2017,12/19/2017,12/21/2017,12/23/2017,12/24/2017,12/26/2017,2/3/2018,3/3/2018,3/10/2018,3/11/2018,3/17/2018,3/24/2018,3/31/2018,4/7/2018,4/14/2018,4/21/2018,4/28/2018,5/5/2018,5/12/2018,5/18/2018,5/19/2018,5/26/2018,6/3/2018,6/9/2018,6/25/2018,6/29/2018,7/1/2018,7/10/2018,7/11/2018,7/12/2018,7/19/2018,7/21/2018,7/22/2018,7/23/2018,7/28/2018,7/29/2018,7/31/2018,8/2/2018,8/4/2018,8/11/2018,8/22/2018,8/24/2018,8/25/2018,8/27/2018,8/29/2018,8/30/2018,8/30.1/2018,9/4/2018,9/6/2018,9/9/2018,9/11/2018,9/12/2018,9/16/2018,9/19/2018,9/20/2018,9/22/2018,9/23/2018,9/25/2018,9/27/2018,9/29/2018,9/30/2018,10/9/2018,10/11/2018,10/13/2018,10/16/2018,10/17/2018,10/18/2018,10/20/2018,10/20.1/2018,10/23/2018,10/25/2018,10/30/2018,11/1/2018,11/3/2018,11/6/2018,11/8/2018,11/10/2018,11/11/2018,11/17/2018,11/20/2018,11/23/2018,12/1/2018,12/4/2018,12/8/2018,12/9/2018,12/11/2018,12/13/2018,12/16/2018,12/19/2018,12/22/2018,12/27/2018,12/29/2018,1/12/2019,1/13/2019,1/16/2019,1/19/2019,2/2/2019,2/9/2019,2/9.1/2019,2/16/2019,2/16.1/2019,2/17/2019,2/19/2019,2/23/2019,2/24/2019,2/26/2019,3/2/2019,3/3/2019,3/5/2019,3/15/2019,3/17/2019,3/21/2019,3/23/2019,3/26/2019,3/31/2019,4/6/2019,4/19/2019,4/20/2019,4/27/2019,5/25/2019,7/18/2019,7/28/2019,8/1/2019,8/5/2019,8/7/2019,8/8/2019,8/11/2019,8/13/2019,8/15/2019,8/17/2019,8/20/2019,8/24/2019,8/24.1/2019,8/26/2019,8/29/2019,8/31/2019,9/2/2019,9/4/2019,9/9/2019,9/12/2019,9/14/2019,9/15/2019,9/19/2019,9/23/2019,9/28/2019,10/5/2019,10/10/2019,10/12/2019,10/17/2019,10/20/2019,10/26/2019,10/31/2019,11/2/2019,11/3/2019,11/7/2019,11/9/2019,11/16/2019,11/17/2019,11/23/2019,11/25/2019,11/29/2019,12/15/2019,12/21/2019,12/28/2019,1/1/2020,1/5/2020,1/11/2020,1/12/2020,1/16/2020,1/19/2020,1/25/2020,2/1/2020,2/6/2020,2/9/2020,2/15/2020,2/16/2020,2/23/2020,2/25/2020,2/29/2020,3/3/2020,3/7/2020,3/8/2020,3/12/2020,3/15/2020,3/21/2020,3/22/2020,3/28/2020,3/29/2020,4/4/2020,4/8/2020,,,,,
02_NET214,90_NET214,290,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,1,1,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
02_NET214,AK_NET217,02AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
02_NET214,AU_NET115,02AU,,,,,,,,,,,1,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,,,1,1,,,1,,,,,1,,,,,,,1,,1,,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
02_NET214,CS_NET115,02CS,,,,,1,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
02_NET214,DE_FSAN18,02DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
02_NET214,ED_FSAN18,02ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
02_NET214,FK_NET116,02FK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,1,1,,,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
02_NET214,FP_NET215,02FP,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,1,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
02_NET214,GJ_NET116,02GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,1,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
02_NET214,GS_NET115,02GS,,,,,1,,,,,,1,1,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
